txn_id,date,merchant,amount,account
T000098,2025-10-04,CVS PHARMACY #2231,146.92,credit
T000099,2025-10-04,UBER *EATS,19.71,credit
T000100,2025-10-04,USPS POSTAL STORE,24.75,credit
T000101,2025-10-05,BLUE BOTTLE COFFEE,5.35,credit
T000102,2025-10-05,DOORDASH*THAI GARDEN,12.07,credit
T000103,2025-10-05,NETFLIX.COM,15.49,checking
T000104,2025-10-05,SPOTIFY P0A1B2C3,11.99,checking
T000105,2025-10-05,STARBUCKS #1234 SEATTLE WA,7.27,credit
T000106,2025-10-05,UBER *EATS,63.53,credit
T000107,2025-10-06,AMZN Mktp US*2H4KJ,235.92,credit
T000108,2025-10-06,DOORDASH*THAI GARDEN,22.78,credit
T000109,2025-10-06,DOORDASH*THAI GARDEN,39.83,credit
T000110,2025-10-06,TRADER JOES #567,168.65,credit
T000111,2025-10-06,UBER *TRIP,27.46,credit
T000112,2025-10-07,BEST BUY #245,33.03,credit
T000113,2025-10-07,DOORDASH*THAI GARDEN,63.39,credit
T000114,2025-10-07,PEETS #88,6.28,credit
T000115,2025-10-07,SHELL OIL 57440,46.43,credit
T000116,2025-10-08,BLUE BOTTLE COFFEE,5.78,credit
T000117,2025-10-08,CITY UTILITIES ELECTRIC,67.52,checking
T000118,2025-10-08,TRADER JOES #567,71.29,credit
T000119,2025-10-08,TST* SUSHI PALACE,24.62,credit
T000120,2025-10-08,UBER *EATS,47.45,credit
T000121,2025-10-09,TARGET T-1234,18.40,credit
T000122,2025-10-09,TST* SUSHI PALACE,54.01,credit
T000123,2025-10-09,WHOLE FOODS MKT #10263,67.01,credit
T000124,2025-10-11,AMZN Mktp US*2H4KJ,99.63,credit
T000125,2025-10-11,DOORDASH*THAI GARDEN,50.25,credit
T000126,2025-10-12,VERIZON WIRELESS,68.00,checking
T000127,2025-10-13,BLUE BOTTLE COFFEE,5.77,credit
T000128,2025-10-14,BEST BUY #245,52.08,credit
T000129,2025-10-14,CHIPOTLE 1234,33.10,credit
T000130,2025-10-14,CVS PHARMACY #2231,87.32,credit
T000131,2025-10-14,SHELL OIL 57440,36.60,credit
T000132,2025-10-14,TST* RAMEN KOBO,18.92,credit
T000133,2025-10-15,TST* SUSHI PALACE,24.23,credit
T000134,2025-10-16,COSTCO WHSE #123,47.02,credit
T000135,2025-10-16,STARBUCKS #1234 SEATTLE WA,9.04,credit
T000136,2025-10-16,STEAM GAMES,58.97,credit
T000137,2025-10-16,UBER *TRIP,65.99,credit
T000138,2025-10-17,BLUE BOTTLE COFFEE,5.44,credit
T000139,2025-10-17,TST* SUSHI PALACE,37.61,credit
T000140,2025-10-17,UBER *TRIP,33.05,credit
T000141,2025-10-18,UBER *EATS,12.17,credit
T000142,2025-10-19,COSTCO WHSE #123,49.27,credit
T000143,2025-10-19,UBER *EATS,25.64,credit
T000144,2025-10-20,APPLE.COM/BILL ICLOUD,2.99,checking
T000145,2025-10-20,COSTCO WHSE #123,170.72,credit
T000146,2025-10-20,DOORDASH*THAI GARDEN,24.28,credit
T000147,2025-10-20,PEETS #88,5.76,credit
T000148,2025-10-20,STARBUCKS #1234 SEATTLE WA,6.05,credit
T000149,2025-10-20,STARBUCKS #1234 SEATTLE WA,7.89,credit
T000150,2025-10-20,UBER *EATS,37.32,credit
T000151,2025-10-21,BLUE BOTTLE COFFEE,5.36,credit
T000152,2025-10-21,CHIPOTLE 1234,12.71,credit
T000153,2025-10-21,STARBUCKS #1234 SEATTLE WA,8.63,credit
T000154,2025-10-22,AMZN Mktp US*9X2LP,79.73,credit
T000155,2025-10-23,READLY DIGITAL MAGAZINES,9.99,checking
T000156,2025-10-23,UBER *EATS,43.53,credit
T000157,2025-10-23,UBER *TRIP,21.89,credit
T000158,2025-10-23,UBER *TRIP,27.92,credit
T000159,2025-10-23,WHOLE FOODS MKT #10263,176.66,credit
T000160,2025-10-24,COSTCO WHSE #123,94.80,credit
T000161,2025-10-24,LYFT *RIDE,65.06,credit
T000162,2025-10-24,TRADER JOES #567,86.12,credit
T000163,2025-10-24,WHOLE FOODS MKT #10263,179.18,credit
T000164,2025-10-25,BLUE BOTTLE COFFEE,6.07,credit
T000165,2025-10-25,COSTCO WHSE #123,121.13,credit
T000166,2025-10-25,LYFT *RIDE,71.32,credit
T000167,2025-10-25,TRANSIT AUTHORITY,36.45,credit
T000168,2025-10-25,UBER *EATS,60.88,credit
T000169,2025-10-25,UBER *TRIP,13.82,credit
T000170,2025-10-26,PEETS #88,6.98,credit
T000171,2025-10-28,TRADER JOES #567,157.56,credit
T000172,2025-11-01,COSTCO WHSE #123,38.76,credit
T000173,2025-11-01,PACIFIC PROPERTY MGMT RENT,3250.00,checking
T000174,2025-11-01,TST* RAMEN KOBO,25.56,credit
T000175,2025-11-02,TARGET T-1234,87.41,credit
T000176,2025-11-02,TST* RAMEN KOBO,21.02,credit
T000177,2025-11-03,FEDEX OFFICE 1234,43.92,credit
T000178,2025-11-03,UBER *EATS,28.64,credit
T000179,2025-11-03,UBER *TRIP,36.69,credit
T000180,2025-11-04,AMZN Mktp US*2H4KJ,225.41,credit
T000181,2025-11-04,BEST BUY #245,244.41,credit
T000182,2025-11-04,BLUE BOTTLE COFFEE,7.64,credit
T000183,2025-11-04,UBER *EATS,26.95,credit
T000184,2025-11-04,WHOLE FOODS MKT #10263,99.51,credit
T000185,2025-11-05,AMZN Mktp US*2H4KJ,151.29,credit
T000186,2025-11-05,NETFLIX.COM,15.49,checking
T000187,2025-11-05,SPOTIFY P0A1B2C3,11.99,checking
T000188,2025-11-05,WHOLE FOODS MKT #10263,61.58,credit
T000189,2025-11-06,DOORDASH*THAI GARDEN,29.03,credit
T000190,2025-11-07,CHIPOTLE 1234,48.31,credit
T000191,2025-11-07,DOORDASH*THAI GARDEN,53.89,credit
T000192,2025-11-07,SAFEWAY #1234 SEATTLE WA,39.49,credit
T000193,2025-11-07,SAFEWAY #1234 SEATTLE WA,165.44,credit
T000194,2025-11-07,SHELL OIL 57440,15.75,credit
T000195,2025-11-08,CITY UTILITIES ELECTRIC,145.88,checking
T000196,2025-11-08,DOORDASH*THAI GARDEN,66.69,credit
T000197,2025-11-08,DOORDASH*THAI GARDEN,64.68,credit
T000198,2025-11-08,LYFT *RIDE,23.75,credit
T000199,2025-11-08,WHOLE FOODS MKT #10263,114.52,credit
T000200,2025-11-09,SHELL OIL 57440,40.25,credit
T000201,2025-11-10,BLUE BOTTLE COFFEE,6.18,credit
T000202,2025-11-10,DOORDASH*THAI GARDEN,15.22,credit
T000203,2025-11-10,PEETS #88,8.59,credit
T000204,2025-11-10,TRANSIT AUTHORITY,19.42,credit
T000205,2025-11-11,BEST BUY #245,27.68,credit
T000206,2025-11-11,BLUE BOTTLE COFFEE,5.96,credit
T000207,2025-11-11,STARBUCKS #1234 SEATTLE WA,8.50,credit
T000208,2025-11-11,TST* SUSHI PALACE,59.26,credit
T000209,2025-11-11,TST* SUSHI PALACE,37.83,credit
T000210,2025-11-12,CHIPOTLE 1234,21.31,credit
T000211,2025-11-12,TRADER JOES #567,112.91,credit
T000212,2025-11-12,TST* SUSHI PALACE,52.56,credit
T000213,2025-11-12,VERIZON WIRELESS,68.00,checking
T000214,2025-11-12,WHOLE FOODS MKT #10263,129.11,credit
T000215,2025-11-13,CHIPOTLE 1234,56.02,credit
T000216,2025-11-13,PEETS #88,4.28,credit
T000217,2025-11-13,STARBUCKS #1234 SEATTLE WA,5.54,credit
T000218,2025-11-14,AMC THEATRES #4412,29.38,credit
T000219,2025-11-14,PEETS #88,7.79,credit
T000220,2025-11-14,TARGET T-1234,54.39,credit
T000221,2025-11-14,UBER *EATS,20.08,credit
T000222,2025-11-15,BEST BUY #245,201.53,credit
T000223,2025-11-15,BLUE BOTTLE COFFEE,9.35,credit
T000224,2025-11-15,BLUE BOTTLE COFFEE,8.86,credit
T000225,2025-11-15,TRANSIT AUTHORITY,16.25,credit
T000226,2025-11-16,PEETS #88,4.64,credit
T000227,2025-11-16,WHOLE FOODS MKT #10263,34.65,credit
T000228,2025-11-17,GEICO AUTO INSURANCE,742.00,credit
T000229,2025-11-17,LYFT *RIDE,44.11,credit
T000230,2025-11-17,PEETS #88,4.43,credit
T000231,2025-11-17,TST* RAMEN KOBO,62.89,credit
T000232,2025-11-18,TRADER JOES #567,119.42,credit
T000233,2025-11-18,TST* RAMEN KOBO,67.80,credit
T000234,2025-11-19,LYFT *RIDE,17.12,credit
T000235,2025-11-19,STARBUCKS #1234 SEATTLE WA,7.13,credit
T000236,2025-11-19,TARGET T-1234,194.53,credit
T000237,2025-11-20,AMZN Mktp US*2H4KJ,200.57,credit
T000238,2025-11-20,APPLE.COM/BILL ICLOUD,2.99,checking
T000239,2025-11-20,COSTCO WHSE #123,96.42,credit
T000240,2025-11-20,TRANSIT AUTHORITY,34.82,credit
T000241,2025-11-21,STARBUCKS #1234 SEATTLE WA,8.57,credit
T000242,2025-11-21,TRADER JOES #567,50.71,credit
T000243,2025-11-21,TST* RAMEN KOBO,15.24,credit
T000244,2025-11-21,TST* SUSHI PALACE,49.13,credit
T000245,2025-11-21,UBER *EATS,45.21,credit
T000246,2025-11-21,UBER *TRIP,58.35,credit
T000247,2025-11-22,SHELL OIL 57440,63.55,credit
T000248,2025-11-22,TRADER JOES #567,60.45,credit
T000249,2025-11-23,READLY DIGITAL MAGAZINES,9.99,checking
T000250,2025-11-23,STARBUCKS #1234 SEATTLE WA,9.52,credit
T000251,2025-11-23,WHOLE FOODS MKT #10263,111.84,credit
T000252,2025-11-24,FEDEX OFFICE 1234,40.14,credit
T000253,2025-11-24,LYFT *RIDE,11.26,credit
T000254,2025-11-24,UBER *EATS,19.71,credit
T000255,2025-11-25,DOORDASH*THAI GARDEN,60.03,credit
T000256,2025-11-25,STARBUCKS #1234 SEATTLE WA,7.14,credit
T000257,2025-11-25,STEAM GAMES,30.95,credit
T000258,2025-11-26,QUEST DIAGNOSTICS,163.37,credit
T000259,2025-11-26,UBER *EATS,33.68,credit
T000260,2025-11-26,UBER *TRIP,17.07,credit
T000261,2025-11-28,AMZN Mktp US*9X2LP,257.46,credit
T000262,2025-11-28,BLUE BOTTLE COFFEE,5.02,credit
T000263,2025-11-28,STARBUCKS #1234 SEATTLE WA,8.56,credit
T000264,2025-11-28,TRADER JOES #567,55.94,credit
T000265,2025-11-28,TST* SUSHI PALACE,64.46,credit
T000266,2025-12-01,CHIPOTLE 1234,55.65,credit
T000267,2025-12-01,PACIFIC PROPERTY MGMT RENT,3250.00,checking
T000268,2025-12-01,UBER *TRIP,61.24,credit
T000269,2025-12-02,UBER *EATS,55.88,credit
T000270,2025-12-03,AMZN Mktp US*2H4KJ,203.82,credit
T000271,2025-12-03,WHOLE FOODS MKT #10263,154.81,credit
T000272,2025-12-04,AMZN Mktp US*9X2LP,140.88,credit
T000273,2025-12-05,CHIPOTLE 1234,57.42,credit
T000274,2025-12-05,DOORDASH*THAI GARDEN,61.79,credit
T000275,2025-12-05,NETFLIX.COM,15.49,checking
T000276,2025-12-05,QUEST DIAGNOSTICS,70.43,credit
T000277,2025-12-05,SPOTIFY P0A1B2C3,11.99,checking
T000278,2025-12-05,TARGET T-1234,230.23,credit
T000279,2025-12-05,UBER *TRIP,38.18,credit
T000280,2025-12-05,WHOLE FOODS MKT #10263,87.20,credit
T000281,2025-12-06,TST* RAMEN KOBO,41.87,credit
T000282,2025-12-06,TST* RAMEN KOBO,45.40,credit
T000283,2025-12-07,BEST BUY #245,158.15,credit
T000284,2025-12-07,STARBUCKS #1234 SEATTLE WA,9.73,credit
T000285,2025-12-07,TRADER JOES #567,32.66,credit
T000286,2025-12-07,TRADER JOES #567,100.87,credit
T000287,2025-12-07,TST* RAMEN KOBO,19.93,credit
T000288,2025-12-08,CITY UTILITIES ELECTRIC,121.51,checking
T000289,2025-12-08,TST* RAMEN KOBO,51.46,credit
T000290,2025-12-08,TST* SUSHI PALACE,31.99,credit
T000291,2025-12-08,UBER *EATS,28.67,credit
T000292,2025-12-09,BEST BUY #245,63.32,credit
T000293,2025-12-09,DOORDASH*THAI GARDEN,65.56,credit
T000294,2025-12-10,BEST BUY #245,84.09,credit
T000295,2025-12-10,SAFEWAY #1234 SEATTLE WA,30.52,credit
T000296,2025-12-10,TARGET T-1234,71.26,credit
T000297,2025-12-11,COSTCO WHSE #123,80.71,credit
T000298,2025-12-11,DOORDASH*THAI GARDEN,25.26,credit
T000299,2025-12-11,PEETS #88,5.81,credit
T000300,2025-12-11,STARBUCKS #1234 SEATTLE WA,7.98,credit
T000301,2025-12-11,TST* SUSHI PALACE,66.00,credit
T000302,2025-12-11,UBER *EATS,65.85,credit
T000303,2025-12-12,SAFEWAY #1234 SEATTLE WA,124.85,credit
T000304,2025-12-12,TST* RAMEN KOBO,29.62,credit
T000305,2025-12-12,VERIZON WIRELESS,68.00,checking
T000306,2025-12-13,LYFT *RIDE,28.18,credit
T000307,2025-12-13,STARBUCKS #1234 SEATTLE WA,9.72,credit
T000308,2025-12-13,TRADER JOES #567,139.83,credit
T000309,2025-12-14,SHELL OIL 57440,69.04,credit
T000310,2025-12-14,STARBUCKS #1234 SEATTLE WA,5.10,credit
T000311,2025-12-14,TRADER JOES #567,93.15,credit
T000312,2025-12-14,UBER *TRIP,26.18,credit
T000313,2025-12-15,LYFT *RIDE,11.34,credit
T000314,2025-12-15,UBER *EATS,28.27,credit
T000315,2025-12-16,CHIPOTLE 1234,27.35,credit
T000316,2025-12-16,DOORDASH*THAI GARDEN,58.05,credit
T000317,2025-12-16,USPS POSTAL STORE,38.51,credit
T000318,2025-12-17,TST* RAMEN KOBO,50.89,credit
T000319,2025-12-18,UBER *EATS,62.33,credit
T000320,2025-12-19,BLUE BOTTLE COFFEE,4.91,credit
T000321,2025-12-19,BLUE BOTTLE COFFEE,7.66,credit
T000322,2025-12-19,BLUE BOTTLE COFFEE,4.51,credit
T000323,2025-12-19,STARBUCKS #1234 SEATTLE WA,7.89,credit
T000324,2025-12-20,APPLE.COM/BILL ICLOUD,2.99,checking
T000325,2025-12-20,STARBUCKS #1234 SEATTLE WA,9.18,credit
T000326,2025-12-20,TRANSIT AUTHORITY,38.04,credit
T000327,2025-12-21,PEETS #88,6.69,credit
T000328,2025-12-21,TRANSIT AUTHORITY,49.20,credit
T000329,2025-12-22,AMZN Mktp US*9X2LP,121.33,credit
T000330,2025-12-22,DOORDASH*THAI GARDEN,33.28,credit
T000331,2025-12-22,WHOLE FOODS MKT #10263,179.61,credit
T000332,2025-12-23,COSTCO WHSE #123,176.69,credit
T000333,2025-12-23,READLY DIGITAL MAGAZINES,9.99,checking
T000334,2025-12-23,TICKETMASTER,66.96,credit
T000335,2025-12-23,TST* RAMEN KOBO,55.45,credit
T000336,2025-12-23,TST* RAMEN KOBO,19.73,credit
T000337,2025-12-24,SAFEWAY #1234 SEATTLE WA,106.07,credit
T000338,2025-12-24,SHELL OIL 57440,34.60,credit
T000339,2025-12-24,SHELL OIL 57440,35.41,credit
T000340,2025-12-24,STARBUCKS #1234 SEATTLE WA,7.51,credit
T000341,2025-12-25,FEDEX OFFICE 1234,31.28,credit
T000342,2025-12-25,SAFEWAY #1234 SEATTLE WA,132.53,credit
T000343,2025-12-25,UBER *TRIP,18.74,credit
T000344,2025-12-26,AMZN Mktp US*9X2LP,61.77,credit
T000345,2025-12-26,STARBUCKS #1234 SEATTLE WA,5.21,credit
T000346,2025-12-26,TST* SUSHI PALACE,15.53,credit
T000347,2025-12-26,WHOLE FOODS MKT #10263,60.21,credit
T000348,2025-12-27,STARBUCKS #1234 SEATTLE WA,8.85,credit
T000349,2025-12-27,STEAM GAMES,82.14,credit
T000350,2025-12-27,UBER *EATS,64.28,credit
T000351,2025-12-28,AMZN Mktp US*2H4KJ,38.61,credit
T000352,2025-12-28,DOORDASH*THAI GARDEN,12.77,credit
T000353,2025-12-28,PEETS #88,4.59,credit
T000354,2025-12-28,TRADER JOES #567,43.58,credit
T000355,2026-01-01,AMZN Mktp US*2H4KJ,156.55,credit
T000356,2026-01-01,CHIPOTLE 1234,65.41,credit
T000357,2026-01-01,PACIFIC PROPERTY MGMT RENT,3250.00,checking
T000358,2026-01-01,TRANSIT AUTHORITY,27.75,credit
T000359,2026-01-02,CVS PHARMACY #2231,185.95,credit
T000360,2026-01-02,UBER *TRIP,18.12,credit
T000361,2026-01-03,TST* SUSHI PALACE,67.67,credit
T000362,2026-01-04,CHIPOTLE 1234,57.72,credit
T000363,2026-01-04,WHOLE FOODS MKT #10263,135.60,credit
T000364,2026-01-04,WHOLE FOODS MKT #10263,162.52,credit
T000365,2026-01-05,BLUE BOTTLE COFFEE,5.16,credit
T000366,2026-01-05,NETFLIX.COM,15.49,checking
T000367,2026-01-05,SAFEWAY #1234 SEATTLE WA,72.72,credit
T000368,2026-01-05,SPOTIFY P0A1B2C3,11.99,checking
T000369,2026-01-06,BLUE BOTTLE COFFEE,7.55,credit
T000370,2026-01-06,FEDEX OFFICE 1234,41.11,credit
T000371,2026-01-06,PEETS #88,4.32,credit
T000372,2026-01-06,PEETS #88,4.44,credit
T000373,2026-01-07,CHIPOTLE 1234,17.26,credit
T000374,2026-01-07,TST* SUSHI PALACE,38.93,credit
T000375,2026-01-08,CITY UTILITIES ELECTRIC,110.98,checking
T000376,2026-01-08,PEETS #88,5.70,credit
T000377,2026-01-08,TST* RAMEN KOBO,11.89,credit
T000378,2026-01-09,CHIPOTLE 1234,26.14,credit
T000379,2026-01-09,SHELL OIL 57440,20.22,credit
T000380,2026-01-10,PEETS #88,6.85,credit
T000381,2026-01-10,TST* RAMEN KOBO,40.98,credit
T000382,2026-01-10,TST* SUSHI PALACE,21.22,credit
T000383,2026-01-11,CHIPOTLE 1234,42.75,credit
T000384,2026-01-11,PEETS #88,9.22,credit
T000385,2026-01-12,AMZN Mktp US*2H4KJ,230.64,credit
T000386,2026-01-12,STARBUCKS #1234 SEATTLE WA,4.25,credit
T000387,2026-01-12,UBER *TRIP,56.80,credit
T000388,2026-01-12,VERIZON WIRELESS,68.00,checking
T000389,2026-01-13,BEST BUY #245,250.48,credit
T000390,2026-01-13,STARBUCKS #1234 SEATTLE WA,9.55,credit
T000391,2026-01-14,AMZN Mktp US*2H4KJ,61.54,credit
T000392,2026-01-14,AMZN Mktp US*9X2LP,121.35,credit
T000393,2026-01-14,CHIPOTLE 1234,52.01,credit
T000394,2026-01-15,AMC THEATRES #4412,72.46,credit
T000395,2026-01-15,SHELL OIL 57440,35.24,credit
T000396,2026-01-16,UBER *EATS,14.24,credit
T000397,2026-01-17,DOORDASH*THAI GARDEN,38.58,credit
T000398,2026-01-17,DOORDASH*THAI GARDEN,39.00,credit
T000399,2026-01-17,PEETS #88,8.01,credit
T000400,2026-01-17,TICKETMASTER,56.97,credit
T000401,2026-01-17,TRANSIT AUTHORITY,32.59,credit
T000402,2026-01-17,TST* SUSHI PALACE,49.26,credit
T000403,2026-01-18,BLUE BOTTLE COFFEE,5.95,credit
T000404,2026-01-19,AMZN Mktp US*2H4KJ,146.58,credit
T000405,2026-01-19,COSTCO WHSE #123,139.67,credit
T000406,2026-01-19,UBER *TRIP,65.61,credit
T000407,2026-01-20,APPLE.COM/BILL ICLOUD,2.99,checking
T000408,2026-01-20,STARBUCKS #1234 SEATTLE WA,9.35,credit
T000409,2026-01-21,BLUE BOTTLE COFFEE,7.59,credit
T000410,2026-01-21,COSTCO WHSE #123,98.26,credit
T000411,2026-01-21,LYFT *RIDE,37.31,credit
T000412,2026-01-22,CHIPOTLE 1234,59.42,credit
T000413,2026-01-23,COSTCO WHSE #123,159.13,credit
T000414,2026-01-23,READLY DIGITAL MAGAZINES,9.99,checking
T000415,2026-01-23,TST* SUSHI PALACE,31.85,credit
T000416,2026-01-24,LYFT *RIDE,54.99,credit
T000417,2026-01-25,BLUE BOTTLE COFFEE,4.72,credit
T000418,2026-01-25,TRANSIT AUTHORITY,9.41,credit
T000419,2026-01-25,TST* RAMEN KOBO,12.96,credit
T000420,2026-01-25,TST* SUSHI PALACE,36.81,credit
T000421,2026-01-26,CHIPOTLE 1234,25.62,credit
T000422,2026-01-26,CHIPOTLE 1234,23.45,credit
T000423,2026-01-26,CHIPOTLE 1234,17.64,credit
T000424,2026-01-26,COSTCO WHSE #123,47.35,credit
T000425,2026-01-26,SAFEWAY #1234 SEATTLE WA,154.27,credit
T000426,2026-01-26,SAFEWAY #1234 SEATTLE WA,118.80,credit
T000427,2026-01-26,SAFEWAY #1234 SEATTLE WA,162.53,credit
T000428,2026-01-26,TRADER JOES #567,109.92,credit
T000429,2026-01-27,BLUE BOTTLE COFFEE,5.47,credit
T000430,2026-01-27,CHIPOTLE 1234,35.10,credit
T000431,2026-01-27,STARBUCKS #1234 SEATTLE WA,5.03,credit
T000432,2026-01-27,TARGET T-1234,209.11,credit
T000433,2026-01-27,TST* SUSHI PALACE,42.85,credit
T000434,2026-01-27,TST* SUSHI PALACE,18.46,credit
T000435,2026-01-28,BLUE BOTTLE COFFEE,7.26,credit
T000436,2026-01-28,TRADER JOES #567,39.79,credit
T000437,2026-01-28,UBER *TRIP,52.01,credit
T000438,2026-02-01,PACIFIC PROPERTY MGMT RENT,3250.00,checking
T000439,2026-02-01,UBER *EATS,58.15,credit
T000440,2026-02-02,AMZN Mktp US*9X2LP,196.36,credit
T000441,2026-02-02,CHIPOTLE 1234,57.97,credit
T000442,2026-02-02,PEETS #88,6.42,credit
T000443,2026-02-02,STARBUCKS #1234 SEATTLE WA,4.42,credit
T000444,2026-02-02,STARBUCKS #1234 SEATTLE WA,7.40,credit
T000445,2026-02-03,BEST BUY #245,141.74,credit
T000446,2026-02-03,DELTA AIR LINES 0062,418.60,credit
T000447,2026-02-03,PEETS #88,5.05,credit
T000448,2026-02-03,UBER *EATS,13.38,credit
