txn_id,category
T000602,交通
T000603,餐饮外卖
T000604,餐饮外卖
T000605,咖啡
T000606,咖啡
T000607,咖啡
T000608,餐饮外卖
T000609,餐饮外卖
T000610,娱乐
T000611,购物
T000612,餐饮外卖
T000613,超市
T000614,购物
T000615,餐饮外卖
T000616,餐饮外卖
T000617,餐饮外卖
T000618,咖啡
T000619,咖啡
T000620,餐饮外卖
T000621,餐饮外卖
T000622,房租
T000623,超市
T000624,餐饮外卖
T000625,其他
T000626,交通
T000627,餐饮外卖
T000628,购物
T000629,订阅
T000630,订阅
T000631,购物
T000632,购物
T000633,咖啡
T000634,餐饮外卖
T000635,咖啡
T000636,餐饮外卖
T000637,餐饮外卖
T000638,购物
T000639,水电燃气
T000640,餐饮外卖
T000641,餐饮外卖
T000642,餐饮外卖
T000643,交通
T000644,购物
T000645,咖啡
T000646,餐饮外卖
T000647,交通
T000648,超市
T000649,购物
T000650,交通
T000651,超市
T000652,咖啡
T000653,交通
T000654,通讯
T000655,交通
T000656,咖啡
T000657,交通
T000658,超市
T000659,超市
T000660,交通
T000661,娱乐
T000662,餐饮外卖
T000663,餐饮外卖
T000664,咖啡
T000665,餐饮外卖
T000666,购物
T000667,超市
T000668,餐饮外卖
T000669,咖啡
T000670,交通
T000671,咖啡
T000672,超市
T000673,交通
T000674,交通
T000675,娱乐
T000676,餐饮外卖
T000677,其他
T000678,购物
T000679,超市
T000680,超市
T000681,交通
T000682,订阅
T000683,超市
T000684,交通
T000685,咖啡
T000686,咖啡
T000687,医疗
T000688,咖啡
T000689,餐饮外卖
T000690,餐饮外卖
T000691,订阅
T000692,餐饮外卖
T000693,餐饮外卖
T000694,交通
T000695,购物
T000696,交通
T000697,咖啡
T000698,超市
T000699,咖啡
T000700,咖啡
T000701,餐饮外卖
T000702,咖啡
T000703,超市
T000704,餐饮外卖
T000705,超市
T000706,超市
T000707,咖啡
T000708,餐饮外卖
T000709,超市
T000710,房租
T000711,餐饮外卖
T000712,购物
T000713,餐饮外卖
T000714,交通
T000715,咖啡
T000716,交通
T000717,咖啡
T000718,超市
T000719,咖啡
T000720,餐饮外卖
T000721,餐饮外卖
T000722,订阅
T000723,订阅
T000724,超市
T000725,交通
T000726,咖啡
T000727,咖啡
T000728,购物
T000729,购物
T000730,水电燃气
T000731,超市
T000732,购物
T000733,餐饮外卖
T000734,咖啡
T000735,餐饮外卖
T000736,咖啡
T000737,超市
T000738,购物
T000739,餐饮外卖
T000740,其他
T000741,咖啡
T000742,餐饮外卖
T000743,超市
T000744,通讯
T000745,购物
T000746,咖啡
T000747,咖啡
T000748,超市
T000749,交通
T000750,购物
T000751,购物
T000752,交通
T000753,娱乐
T000754,餐饮外卖
T000755,餐饮外卖
T000756,购物
T000757,餐饮外卖
T000758,超市
T000759,餐饮外卖
T000760,购物
T000761,咖啡
T000762,交通
T000763,娱乐
T000764,餐饮外卖
T000765,餐饮外卖
T000766,超市
T000767,餐饮外卖
T000768,餐饮外卖
T000769,咖啡
T000770,交通
T000771,娱乐
T000772,餐饮外卖
T000773,餐饮外卖
T000774,订阅
T000775,咖啡
T000776,咖啡
T000777,交通
T000778,餐饮外卖
T000779,超市
T000780,餐饮外卖
T000781,超市
T000782,交通
T000783,餐饮外卖
T000784,交通
T000785,交通
T000786,订阅
T000787,超市
T000788,餐饮外卖
T000789,餐饮外卖
T000790,购物
T000791,餐饮外卖
T000792,餐饮外卖
T000793,餐饮外卖
T000794,咖啡
T000795,超市
T000796,购物
T000797,房租
T000798,购物
T000799,餐饮外卖
T000800,超市
T000801,餐饮外卖
T000802,超市
T000803,购物
T000804,娱乐
T000805,超市
T000806,订阅
T000807,订阅
T000808,餐饮外卖
T000809,咖啡
T000810,超市
T000811,交通
T000812,餐饮外卖
T000813,餐饮外卖
T000814,咖啡
T000815,餐饮外卖
T000816,餐饮外卖
T000817,水电燃气
T000818,超市
T000819,餐饮外卖
T000820,咖啡
T000821,咖啡
T000822,购物
T000823,餐饮外卖
T000824,餐饮外卖
T000825,交通
T000826,咖啡
T000827,餐饮外卖
T000828,购物
T000829,餐饮外卖
T000830,咖啡
T000831,购物
T000832,餐饮外卖
T000833,通讯
T000834,超市
T000835,餐饮外卖
T000836,餐饮外卖
T000837,超市
T000838,娱乐
T000839,餐饮外卖
T000840,交通
T000841,咖啡
T000842,咖啡
T000843,餐饮外卖
T000844,咖啡
T000845,交通
T000846,餐饮外卖
T000847,餐饮外卖
T000848,超市
T000849,购物
T000850,餐饮外卖
T000851,咖啡
T000852,交通
T000853,餐饮外卖
T000854,餐饮外卖
T000855,娱乐
T000856,订阅
T000857,咖啡
T000858,咖啡
T000859,超市
T000860,交通
T000861,超市
T000862,餐饮外卖
T000863,咖啡
T000864,餐饮外卖
T000865,订阅
T000866,咖啡
T000867,超市
T000868,超市
T000869,交通
T000870,交通
T000871,餐饮外卖
T000872,餐饮外卖
T000873,其他
T000874,交通
T000875,餐饮外卖
T000876,餐饮外卖
T000877,超市
T000878,超市
T000879,交通
T000880,咖啡
T000881,咖啡
T000882,超市
T000883,交通
T000884,交通
T000885,餐饮外卖
T000886,娱乐
T000887,房租
T000888,咖啡
T000889,餐饮外卖
T000890,交通
T000891,咖啡
T000892,超市
T000893,餐饮外卖
T000894,交通
T000895,交通
T000896,其他
T000897,餐饮外卖
T000898,咖啡
T000899,咖啡
T000900,订阅
T000901,订阅
T000902,超市
T000903,交通
T000904,餐饮外卖
T000905,超市
T000906,咖啡
T000907,水电燃气
T000908,餐饮外卖
T000909,购物
T000910,餐饮外卖
T000911,交通
T000912,交通
T000913,咖啡
T000914,餐饮外卖
T000915,购物
T000916,咖啡
T000917,医疗
T000918,餐饮外卖
T000919,餐饮外卖
T000920,通讯
T000921,咖啡
T000922,餐饮外卖
T000923,医疗
T000924,咖啡
T000925,超市
T000926,购物
T000927,咖啡
T000928,咖啡
T000929,餐饮外卖
T000930,餐饮外卖
T000931,餐饮外卖
T000932,交通
T000933,其他
T000934,咖啡
T000935,超市
T000936,餐饮外卖
T000937,娱乐
T000938,交通
T000939,超市
T000940,餐饮外卖
T000941,交通
T000942,超市
T000943,交通
T000944,餐饮外卖
T000945,餐饮外卖
T000946,订阅
T000947,咖啡
T000948,餐饮外卖
T000949,交通
T000950,购物
T000951,购物
T000952,餐饮外卖
T000953,超市
T000954,餐饮外卖
T000955,订阅
T000956,购物
T000957,餐饮外卖
T000958,交通
T000959,咖啡
T000960,交通
T000961,咖啡
T000962,咖啡
T000963,交通
T000964,咖啡
T000965,超市
T000966,超市
T000967,购物
T000968,超市
T000969,交通
T000970,餐饮外卖
T000971,超市
T000972,餐饮外卖
T000973,购物
T000974,房租
T000975,超市
T000976,餐饮外卖
T000977,咖啡
T000978,咖啡
T000979,超市
T000980,交通
T000981,餐饮外卖
T000982,餐饮外卖
T000983,交通
T000984,咖啡
T000985,购物
T000986,超市
T000987,订阅
T000988,咖啡
T000989,超市
T000990,订阅
T000991,餐饮外卖
T000992,交通
T000993,餐饮外卖
T000994,超市
T000995,购物
T000996,咖啡
T000997,医疗
T000998,咖啡
T000999,其他
T001000,购物
T001001,水电燃气
T001002,交通
T001003,超市
T001004,餐饮外卖
T001005,超市
T001006,购物
T001007,餐饮外卖
T001008,其他
T001009,交通
T001010,超市
T001011,购物
T001012,餐饮外卖
T001013,餐饮外卖
T001014,娱乐
T001015,交通
T001016,超市
T001017,购物
T001018,购物
T001019,餐饮外卖
T001020,通讯
T001021,餐饮外卖
T001022,交通
T001023,餐饮外卖
T001024,咖啡
T001025,餐饮外卖
T001026,餐饮外卖
T001027,餐饮外卖
T001028,餐饮外卖
T001029,交通
T001030,咖啡
T001031,餐饮外卖
T001032,餐饮外卖
T001033,餐饮外卖
T001034,超市
T001035,订阅
T001036,咖啡
T001037,咖啡
T001038,餐饮外卖
T001039,餐饮外卖
T001040,餐饮外卖
T001041,餐饮外卖
T001042,咖啡
T001043,咖啡
T001044,订阅
T001045,娱乐
T001046,餐饮外卖
T001047,交通
T001048,超市
T001049,超市
T001050,餐饮外卖
T001051,交通
T001052,购物
T001053,交通
T001054,餐饮外卖
T001055,医疗
T001056,咖啡
T001057,交通
T001058,交通
T001059,咖啡
T001060,咖啡
T001061,交通
